Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2/6/08,255.82582,255.84084,249.21422,251.10611,15257527,0,0
2/7/08,248.67868,257.35236,247.62762,252.72772,15841942,0,0
2/8/08,254.95996,259.12411,254.60460,258.60361,13644142,0,0
2/11/08,260.52051,262.11713,256.95697,260.84085,11640348,0,0
2/12/08,261.95697,265.56555,256.77176,259.30429,13311275,0,0
2/13/08,261.51151,267.76276,259.60461,267.57758,13236151,0,0
2/14/08,269.44446,270.79080,265.76578,266.39139,12940447,0,0
2/15/08,264.41943,266.59659,262.42743,265.08508,10469720,0,0
2/19/08,267.73773,267.79779,253.50351,254.72974,12688099,0,0
2/20/08,252.00700,255.76076,249.65965,254.75476,13311076,0,0
2/21/08,256.68167,256.86185,250.00000,251.68169,11344244,0,0
2/22/08,251.28128,254.75476,249.02402,254.15416,11020768,0,0
2/25/08,253.22823,253.50351,243.11311,243.46347,16728854,0,0
2/26/08,230.83083,233.46848,223.64865,232.32733,46528025,0,0
2/27/08,230.29529,237.98299,230.05005,236.66667,20223556,0,0
2/28/08,235.48549,239.78479,233.91391,237.93294,13160626,0,0
2/29/08,236.17117,240.11011,232.55756,235.82582,18831949,0,0
3/3/08,235.99100,236.59660,225.28027,228.73874,15093891,0,0
3/4/08,225.70070,226.90691,218.10811,222.52252,27216157,0,0
3/5/08,222.84785,227.31232,222.22223,224.07408,14858327,0,0
3/6/08,224.06908,226.87688,215.80580,216.56657,14925260,0,0
3/7/08,214.65465,220.22021,213.33333,216.89189,16127456,0,0
3/10/08,214.62962,215.71571,206.72673,207.01701,15959225,0,0
3/11/08,212.84285,220.29529,212.53754,220.14014,17636146,0,0
3/12/08,220.22522,224.16417,219.25426,220.31030,13290496,0,0
3/13/08,216.55156,223.71371,214.60460,221.72673,15437747,0,0
3/14/08,221.71172,224.89490,215.52553,219.17918,13135651,0,0
3/17/08,214.20921,217.07207,206.26126,210.14514,15760624,0,0
3/18/08,214.70471,220.64064,212.97798,219.79980,14459926,0,0
3/19/08,220.77577,223.97397,216.05106,216.21622,12345642,0,0
3/20/08,213.87387,218.06807,208.95895,216.99199,19806973,0,0
3/24/08,219.43443,233.12312,219.07909,230.51051,13513473,0,0
3/25/08,228.95895,228.96396,223.22322,225.61562,11651537,0,0
3/26/08,226.52151,231.66667,224.86987,229.32433,10440949,0,0
3/27/08,223.22322,224.52953,220.46547,222.26227,11652736,0,0
3/28/08,223.95395,227.01201,217.37238,219.25926,8743648,0,0
3/31/08,218.03804,221.56657,216.22122,220.45546,8883907,0,0
4/1/08,224.09410,233.48349,223.65866,233.08809,12174014,0,0
4/2/08,235.18518,238.10811,230.42543,233.08308,11986002,0,0
4/3/08,231.09610,231.87688,224.28929,227.78778,13543243,0,0
4/4/08,228.73373,239.15416,228.32832,235.78078,11782606,0,0
4/7/08,238.75375,242.96297,237.00200,238.64865,11875113,0,0
4/8/08,236.75676,237.30731,231.23624,234.13914,9084906,0,0
4/9/08,234.79980,236.23624,228.99899,232.32733,12084104,0,0
4/10/08,232.71271,237.16716,231.15616,234.77478,10134655,0,0
4/11/08,232.26727,233.86386,227.73273,228.95395,8331061,0,0
4/14/08,228.80881,228.95395,225.30029,226.05606,7677515,0,0
4/15/08,229.29430,230.09009,222.08208,223.64365,9146045,0,0
4/16/08,222.42242,229.36937,220.72072,227.74274,15246139,0,0
4/17/08,228.04305,229.91492,223.48349,224.99500,26679294,0,0
4/18/08,267.87286,274.12411,262.64764,269.97498,36434729,0,0
4/21/08,269.96497,271.56656,265.41040,269.16415,14864521,0,0
4/22/08,269.05405,280.69571,269.04904,277.77777,15861123,0,0
4/23/08,279.24924,279.93494,270.74576,273.51852,9833157,0,0
4/24/08,275.92093,277.52252,270.28027,271.79178,8261930,0,0
4/25/08,274.78479,276.77676,271.63663,272.30231,8320471,0,0
4/28/08,273.21323,278.68369,269.76978,276.33633,8009183,0,0
4/29/08,275.69070,281.98199,275.28027,279.51453,8683308,0,0
4/30/08,281.38638,292.72272,279.51453,287.43243,15790194,0,0
5/1/08,289.44446,297.76276,288.77377,296.83682,13192394,0,0
5/2/08,299.54456,301.52652,289.93994,290.93594,13983602,0,0
5/5/08,299.72974,299.79980,293.85886,297.74774,12549438,0,0
5/6/08,295.79581,296.29630,291.79178,293.47348,9249341,0,0
5/7/08,295.43042,300.04504,288.50351,289.78979,13212774,0,0
5/8/08,293.39340,294.94495,289.74475,291.79678,10235554,0,0
5/9/08,289.78979,292.79279,285.93594,286.88690,8960830,0,0
5/12/08,287.66266,293.66867,284.73975,292.76276,9718072,0,0
5/13/08,293.40842,294.26926,289.56458,291.79178,10316673,0,0
5/14/08,293.53854,295.89090,287.91290,288.43845,8742848,0,0
5/15/08,289.78979,291.76675,288.09308,290.79080,8676715,0,0
5/16/08,291.00601,292.63263,289.44946,290.32532,8539652,0,0
5/19/08,289.56458,294.73474,287.04706,289.04904,11197791,0,0
5/20/08,287.60260,291.53152,286.74173,289.58960,6620573,0,0
5/21/08,289.54956,290.99600,274.21921,275.27026,12923264,0,0
5/22/08,276.25125,277.38239,270.39539,275.00500,10142447,0,0
5/23/08,273.75375,276.77676,269.17416,272.58258,8854137,0,0
5/27/08,272.75275,281.58157,272.19720,280.73074,7723269,0,0
5/28/08,284.25424,286.03104,280.83084,284.40442,8092699,0,0
5/29/08,287.68268,293.23325,286.88690,291.79178,9680310,0,0
5/30/08,292.02704,295.25525,290.94095,293.19321,6443950,0,0
6/2/08,291.54153,292.23724,285.92093,287.78778,7341052,0,0
6/3/08,288.53854,290.54053,280.58557,283.93393,8601989,0,0
6/4/08,282.94794,289.28928,282.55756,286.39639,6719674,0,0
6/5/08,288.82883,294.31430,288.39340,293.44345,7825567,0,0
6/6/08,290.16516,290.65067,283.78378,283.78378,9459531,0,0
6/9/08,284.31430,285.28528,272.97296,279.21420,10566023,0,0
6/10/08,275.05505,279.68970,273.66367,277.36237,7307485,0,0
6/11/08,278.39841,278.94894,272.50250,272.87286,7618174,0,0
6/12/08,274.65466,279.27927,273.71371,276.75174,10972217,0,0
6/13/08,281.02603,288.13815,280.95096,286.04105,12356431,0,0
6/16/08,283.53354,289.83984,283.53354,286.69168,7078514,0,0
6/17/08,288.46347,289.32431,284.47449,285.01501,6918874,0,0
6/18/08,282.53754,284.77979,279.85986,281.47147,6755638,0,0
6/19/08,277.95294,282.17218,275.68069,280.38037,11354834,0,0
6/20/08,278.76877,278.76877,272.52753,273.48849,11954234,0,0
6/23/08,272.95294,276.85184,271.28128,272.87787,7264528,0,0
6/24/08,272.84283,275.87088,267.81781,271.42142,9335855,0,0
6/25/08,272.75775,279.17917,272.10712,275.77579,8236156,0,0
6/26/08,272.32233,272.73773,264.39441,264.67468,11307681,0,0
6/27/08,264.10410,265.26526,257.80280,264.29929,10884105,0,0
6/30/08,266.50150,269.26926,261.79178,263.47348,7523069,0,0
7/1/08,260.05005,268.62863,258.75876,267.63263,9909880,0,0
7/2/08,268.52353,270.46045,263.29330,263.78378,8437554,0,0
7/3/08,265.70572,269.88489,264.01401,268.76877,4796199,0,0
7/7/08,271.42142,274.77478,268.06805,272.22723,8501890,0,0
7/8/08,273.26828,277.87286,270.27026,277.54254,9854935,0,0
7/9/08,275.65567,278.11810,270.63565,271.04605,8299692,0,0
7/10/08,272.77277,275.02502,265.62564,270.55554,8654737,0,0
7/11/08,268.51852,270.02002,259.97498,267.16718,9952837,0,0
